Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Carazinho (RS)";430470;0,562;0,678;0,766;0,649;0,701;0,756;0,703;0,764;0,840;0,390;0,583;0,707
"Carlos Barbosa (RS)";430480;0,553;0,724;0,796;0,688;0,756;0,835;0,742;0,820;0,835;0,332;0,612;0,724
"Carlos Gomes (RS)";430485;0,423;0,596;0,739;0,600;0,662;0,732;0,746;0,793;0,886;0,169;0,404;0,622
"Casca (RS)";430490;0,531;0,688;0,785;0,617;0,735;0,778;0,750;0,812;0,847;0,324;0,545;0,733
"Caseiros (RS)";430495;0,415;0,590;0,703;0,541;0,605;0,696;0,688;0,750;0,833;0,192;0,452;0,600
"Catuípe (RS)";430500;0,542;0,635;0,739;0,636;0,667;0,763;0,754;0,835;0,842;0,332;0,459;0,627
"Caxias do Sul (RS)";430510;0,594;0,705;0,782;0,728;0,771;0,812;0,756;0,817;0,860;0,381;0,556;0,686
"Centenário (RS)";430511;0,390;0,545;0,701;0,572;0,555;0,707;0,754;0,793;0,856;0,138;0,367;0,569
"Cerrito (RS)";430512;0,415;0,574;0,649;0,569;0,598;0,657;0,693;0,764;0,824;0,181;0,413;0,504
"Cerro Branco (RS)";430513;0,420;0,544;0,661;0,534;0,628;0,671;0,696;0,756;0,816;0,200;0,339;0,527
"Cerro Grande (RS)";430515;0,388;0,557;0,674;0,458;0,569;0,676;0,669;0,706;0,803;0,190;0,430;0,563
"Cerro Grande do Sul (RS)";430517;0,371;0,513;0,660;0,599;0,595;0,673;0,701;0,787;0,855;0,122;0,289;0,499
"Cerro Largo (RS)";430520;0,541;0,664;0,764;0,581;0,661;0,752;0,767;0,818;0,849;0,356;0,542;0,698
"Chapada (RS)";430530;0,490;0,642;0,757;0,602;0,659;0,752;0,720;0,769;0,849;0,272;0,521;0,679
"Charqueadas (RS)";430535;0,551;0,649;0,747;0,613;0,673;0,726;0,765;0,808;0,870;0,357;0,503;0,659
"Charrua (RS)";430537;0,375;0,501;0,620;0,532;0,588;0,699;0,765;0,858;0,885;0,130;0,249;0,385
"Chiapetta (RS)";430540;0,496;0,606;0,732;0,585;0,607;0,702;0,720;0,801;0,850;0,289;0,458;0,657
"Chuí (RS)";430543;0,539;0,654;0,706;0,712;0,700;0,676;0,691;0,763;0,792;0,318;0,523;0,658
"Chuvisca (RS)";430544;0,296;0,481;0,616;0,550;0,657;0,655;0,713;0,776;0,818;0,066;0,218;0,437
"Cidreira (RS)";430545;0,466;0,640;0,729;0,621;0,691;0,730;0,706;0,790;0,848;0,231;0,481;0,625
"Ciríaco (RS)";430550;0,446;0,595;0,719;0,550;0,662;0,724;0,700;0,769;0,855;0,230;0,414;0,600
"Colinas (RS)";430558;0,535;0,625;0,765;0,619;0,681;0,786;0,747;0,813;0,840;0,331;0,442;0,678
"Colorado (RS)";430560;0,548;0,665;0,758;0,713;0,743;0,775;0,727;0,818;0,835;0,317;0,484;0,674
"Condor (RS)";430570;0,473;0,609;0,747;0,580;0,654;0,735;0,754;0,792;0,852;0,242;0,436;0,666
"Constantina (RS)";430580;0,488;0,630;0,754;0,572;0,653;0,726;0,746;0,830;0,885;0,272;0,461;0,668
"Coqueiro Baixo (RS)";430583;0,385;0,582;0,692;0,573;0,636;0,703;0,758;0,852;0,886;0,131;0,363;0,532
"Coqueiros do Sul (RS)";430585;0,422;0,601;0,746;0,508;0,611;0,806;0,705;0,768;0,840;0,210;0,463;0,614
"Coronel Barros (RS)";430587;0,451;0,612;0,744;0,565;0,642;0,793;0,762;0,811;0,852;0,213;0,441;0,610
"Coronel Bicaco (RS)";430590;0,445;0,579;0,665;0,543;0,624;0,667;0,716;0,777;0,803;0,226;0,400;0,550
"Coronel Pilar (RS)";430593;0,519;0,602;0,727;0,595;0,707;0,766;0,733;0,820;0,835;0,321;0,377;0,600
"Cotiporã (RS)";430595;0,505;0,645;0,741;0,639;0,702;0,767;0,733;0,820;0,835;0,275;0,466;0,636
"Coxilha (RS)";430597;0,415;0,594;0,706;0,558;0,610;0,693;0,750;0,789;0,866;0,171;0,435;0,586
"Crissiumal (RS)";430600;0,469;0,589;0,712;0,568;0,610;0,702;0,727;0,773;0,835;0,250;0,433;0,616
"Cristal (RS)";430605;0,433;0,537;0,644;0,641;0,613;0,687;0,719;0,751;0,826;0,176;0,336;0,471
"Cristal do Sul (RS)";430607;0,315;0,516;0,660;0,371;0,489;0,641;0,681;0,775;0,826;0,124;0,362;0,542
"Cruz Alta (RS)";430610;0,559;0,679;0,750;0,653;0,714;0,754;0,727;0,810;0,858;0,368;0,541;0,653
"Cruzaltense (RS)";430613;0,356;0,582;0,719;0,489;0,626;0,724;0,710;0,792;0,849;0,130;0,397;0,605
"Cruzeiro do Sul (RS)";430620;0,506;0,637;0,723;0,610;0,679;0,746;0,733;0,804;0,833;0,289;0,474;0,607
"David Canabarro (RS)";430630;0,499;0,629;0,762;0,571;0,670;0,740;0,750;0,787;0,870;0,291;0,473;0,688
"Derrubadas (RS)";430632;0,361;0,573;0,707;0,436;0,613;0,664;0,710;0,751;0,846;0,152;0,409;0,628
"Dezesseis de Novembro (RS)";430635;0,408;0,529;0,654;0,474;0,536;0,625;0,689;0,774;0,809;0,208;0,356;0,553
"Dilermando de Aguiar (RS)";430637;0,411;0,558;0,648;0,548;0,611;0,681;0,750;0,792;0,864;0,169;0,359;0,463
"Dois Irmãos (RS)";430640;0,535;0,676;0,743;0,669;0,712;0,763;0,747;0,830;0,848;0,306;0,522;0,633
"Dois Irmãos das Missões (RS)";430642;0,363;0,559;0,670;0,549;0,588;0,646;0,653;0,703;0,797;0,133;0,423;0,585
"Dois Lajeados (RS)";430645;0,513;0,694;0,757;0,698;0,736;0,775;0,767;0,821;0,837;0,252;0,552;0,670
"Dom Feliciano (RS)";430650;0,318;0,470;0,587;0,544;0,608;0,633;0,669;0,760;0,818;0,088;0,225;0,390
"Dom Pedrito (RS)";430660;0,515;0,621;0,708;0,611;0,680;0,715;0,662;0,761;0,848;0,337;0,463;0,585
"Dom Pedro de Alcântara (RS)";430655;0,395;0,572;0,691;0,515;0,603;0,697;0,715;0,757;0,820;0,167;0,409;0,577
"Dona Francisca (RS)";430670;0,479;0,605;0,697;0,618;0,661;0,718;0,701;0,753;0,831;0,253;0,445;0,568
"Doutor Maurício Cardoso (RS)";430673;0,482;0,650;0,706;0,549;0,611;0,707;0,721;0,790;0,840;0,283;0,570;0,593
"Doutor Ricardo (RS)";430675;0,405;0,575;0,724;0,557;0,657;0,749;0,721;0,770;0,855;0,165;0,376;0,593
"Eldorado do Sul (RS)";430676;0,480;0,620;0,717;0,619;0,673;0,717;0,710;0,756;0,844;0,252;0,469;0,609
"Encantado (RS)";430680;0,603;0,700;0,767;0,688;0,719;0,764;0,772;0,852;0,858;0,413;0,561;0,687
"Encruzilhada do Sul (RS)";430690;0,431;0,551;0,657;0,578;0,641;0,677;0,694;0,784;0,875;0,199;0,332;0,478
"Engenho Velho (RS)";430692;0,353;0,533;0,717;0,536;0,595;0,735;0,674;0,748;0,821;0,122;0,340;0,611
"Entre-Ijuís (RS)";430693;0,473;0,589;0,680;0,561;0,593;0,692;0,745;0,782;0,829;0,253;0,440;0,548
"Entre Rios do Sul (RS)";430695;0,382;0,595;0,703;0,548;0,663;0,709;0,710;0,766;0,857;0,143;0,415;0,572
"Erebango (RS)";430697;0,459;0,606;0,712;0,557;0,606;0,689;0,737;0,790;0,837;0,235;0,465;0,626
"Erechim (RS)";430700;0,578;0,696;0,776;0,686;0,720;0,782;0,746;0,820;0,833;0,378;0,570;0,716
"Ernestina (RS)";430705;0,475;0,642;0,716;0,555;0,671;0,703;0,727;0,779;0,854;0,266;0,507;0,612
"Erval Grande (RS)";430720;0,338;0,560;0,681;0,531;0,612;0,713;0,765;0,858;0,885;0,095;0,335;0,501
"Erval Seco (RS)";430730;0,434;0,538;0,685;0,509;0,571;0,666;0,721;0,757;0,821;0,223;0,360;0,589
"Esmeralda (RS)";430740;0,478;0,538;0,680;0,569;0,631;0,669;0,748;0,785;0,827;0,257;0,314;0,569
"Esperança do Sul (RS)";430745;0,398;0,498;0,661;0,490;0,526;0,665;0,651;0,751;0,788;0,198;0,312;0,550
"Espumoso (RS)";430750;0,519;0,653;0,765;0,636;0,678;0,747;0,760;0,824;0,884;0,289;0,499;0,677
"Estação (RS)";430755;0,534;0,662;0,753;0,600;0,663;0,752;0,748;0,784;0,843;0,340;0,558;0,674
"Estância Velha (RS)";430760;0,537;0,674;0,757;0,676;0,706;0,749;0,760;0,852;0,887;0,301;0,510;0,652
"Esteio (RS)";430770;0,589;0,693;0,754;0,675;0,725;0,769;0,742;0,821;0,843;0,409;0,560;0,662
"Estrela (RS)";430780;0,564;0,676;0,767;0,662;0,707;0,776;0,751;0,824;0,850;0,361;0,531;0,684
"Estrela Velha (RS)";430781;0,374;0,535;0,679;0,489;0,638;0,707;0,705;0,786;0,792;0,152;0,306;0,560
"Eugênio de Castro (RS)";430783;0,469;0,621;0,712;0,563;0,629;0,697;0,760;0,854;0,885;0,241;0,446;0,584
"Fagundes Varela (RS)";430786;0,473;0,633;0,763;0,629;0,687;0,773;0,781;0,842;0,852;0,215;0,438;0,674
"Farroupilha (RS)";430790;0,560;0,691;0,777;0,708;0,740;0,783;0,772;0,820;0,861;0,321;0,543;0,696
"Faxinal do Soturno (RS)";430800;0,540;0,643;0,720;0,594;0,665;0,732;0,735;0,788;0,854;0,360;0,508;0,597
"Faxinalzinho (RS)";430805;0,408;0,574;0,666;0,514;0,629;0,646;0,659;0,762;0,801;0,201;0,394;0,571
"Fazenda Vilanova (RS)";430807;0,429;0,548;0,698;0,609;0,641;0,726;0,717;0,757;0,841;0,181;0,340;0,557
"Feliz (RS)";430810;0,563;0,659;0,750;0,683;0,702;0,758;0,761;0,810;0,847;0,343;0,504;0,658
"Flores da Cunha (RS)";430820;0,523;0,674;0,754;0,682;0,762;0,786;0,762;0,842;0,849;0,275;0,477;0,642
"Floriano Peixoto (RS)";430825;0,347;0,532;0,663;0,536;0,579;0,701;0,719;0,792;0,854;0,108;0,328;0,486
"Fontoura Xavier (RS)";430830;0,331;0,504;0,661;0,501;0,584;0,668;0,734;0,775;0,812;0,099;0,283;0,532
"Formigueiro (RS)";430840;0,454;0,579;0,682;0,593;0,602;0,690;0,725;0,794;0,838;0,217;0,406;0,549
"Forquetinha (RS)";430843;0,467;0,553;0,683;0,613;0,609;0,743;0,758;0,852;0,886;0,219;0,326;0,484
"Fortaleza dos Valos (RS)";430845;0,535;0,658;0,756;0,688;0,754;0,779;0,734;0,803;0,837;0,304;0,471;0,663
"Frederico Westphalen (RS)";430850;0,536;0,683;0,760;0,626;0,689;0,754;0,749;0,813;0,846;0,329;0,569;0,688
"Garibaldi (RS)";430860;0,575;0,712;0,786;0,698;0,760;0,825;0,743;0,820;0,856;0,367;0,579;0,688
"Garruchos (RS)";430865;0,252;0,549;0,671;0,453;0,555;0,657;0,681;0,775;0,833;0,052;0,384;0,553
"Gaurama (RS)";430870;0,498;0,662;0,738;0,579;0,675;0,733;0,781;0,841;0,852;0,273;0,511;0,643
"General Câmara (RS)";430880;0,471;0,619;0,686;0,585;0,655;0,704;0,717;0,796;0,832;0,249;0,454;0,552
"Gentil (RS)";430885;0,410;0,628;0,733;0,519;0,652;0,710;0,730;0,791;0,863;0,182;0,480;0,643
"Getúlio Vargas (RS)";430890;0,532;0,665;0,746;0,612;0,671;0,747;0,710;0,800;0,843;0,347;0,547;0,658
"Giruá (RS)";430900;0,479;0,626;0,721;0,578;0,651;0,707;0,684;0,758;0,842;0,278;0,498;0,629
"Glorinha (RS)";430905;0,424;0,587;0,714;0,579;0,666;0,716;0,741;0,820;0,859;0,178;0,370;0,593
"Gramado (RS)";430910;0,546;0,698;0,764;0,676;0,737;0,783;0,780;0,842;0,861;0,308;0,548;0,662
"Gramado dos Loureiros (RS)";430912;0,336;0,573;0,685;0,413;0,579;0,662;0,658;0,737;0,832;0,139;0,442;0,584
"Gramado Xavier (RS)";430915;0,356;0,460;0,634;0,544;0,608;0,681;0,669;0,715;0,792;0,124;0,224;0,473
"Gravataí (RS)";430920;0,540;0,661;0,736;0,634;0,688;0,727;0,750;0,839;0,862;0,332;0,500;0,636
"Guabiju (RS)";430925;0,489;0,674;0,758;0,582;0,679;0,831;0,780;0,825;0,857;0,258;0,547;0,612
"Guaíba (RS)";430930;0,522;0,654;0,730;0,629;0,687;0,732;0,750;0,792;0,833;0,301;0,515;0,639
"Guaporé (RS)";430940;0,553;0,670;0,765;0,649;0,721;0,781;0,724;0,807;0,837;0,359;0,516;0,685
"Guarani das Missões (RS)";430950;0,471;0,592;0,737;0,561;0,603;0,698;0,727;0,771;0,863;0,257;0,446;0,665
"Harmonia (RS)";430955;0,541;0,663;0,749;0,662;0,704;0,748;0,746;0,831;0,841;0,320;0,498;0,668
"Herval (RS)";430710;0,443;0,548;0,687;0,577;0,620;0,730;0,720;0,763;0,843;0,209;0,348;0,527
"Herveiras (RS)";430957;0,299;0,441;0,616;0,520;0,593;0,670;0,705;0,757;0,792;0,073;0,191;0,441
"Horizontina (RS)";430960;0,568;0,725;0,783;0,628;0,695;0,782;0,750;0,850;0,858;0,390;0,645;0,716
"Hulha Negra (RS)";430965;0,386;0,569;0,643;0,541;0,670;0,653;0,653;0,698;0,796;0,163;0,394;0,512
"Humaitá (RS)";430970;0,538;0,640;0,738;0,585;0,642;0,732;0,762;0,802;0,837;0,349;0,509;0,657
"Ibarama (RS)";430975;0,369;0,528;0,652;0,578;0,592;0,686;0,647;0,743;0,792;0,134;0,335;0,511
"Ibiaçá (RS)";430980;0,484;0,677;0,739;0,581;0,752;0,766;0,758;0,860;0,888;0,257;0,480;0,593
"Ibiraiaras (RS)";430990;0,489;0,645;0,724;0,621;0,701;0,739;0,734;0,808;0,835;0,257;0,474;0,615
"Ibirapuitã (RS)";430995;0,417;0,527;0,638;0,533;0,579;0,678;0,703;0,765;0,828;0,193;0,331;0,463
"Ibirubá (RS)";431000;0,511;0,674;0,765;0,650;0,733;0,786;0,734;0,799;0,848;0,279;0,523;0,671
"Igrejinha (RS)";431010;0,481;0,603;0,721;0,652;0,698;0,749;0,746;0,781;0,876;0,229;0,403;0,571
"Ijuí (RS)";431020;0,553;0,683;0,781;0,646;0,709;0,786;0,720;0,819;0,858;0,364;0,548;0,707
"Ilópolis (RS)";431030;0,471;0,613;0,730;0,570;0,673;0,756;0,756;0,841;0,866;0,242;0,407;0,595
"Imbé (RS)";431033;0,547;0,677;0,764;0,650;0,715;0,825;0,744;0,788;0,847;0,339;0,550;0,638
"Imigrante (RS)";431036;0,514;0,690;0,743;0,649;0,712;0,764;0,759;0,818;0,844;0,276;0,565;0,635
"Independência (RS)";431040;0,465;0,601;0,693;0,539;0,644;0,711;0,745;0,793;0,813;0,251;0,425;0,576
"Inhacorá (RS)";431041;0,369;0,554;0,673;0,537;0,598;0,647;0,716;0,777;0,807;0,131;0,365;0,585
"Ipê (RS)";431043;0,503;0,615;0,728;0,669;0,654;0,751;0,744;0,782;0,831;0,256;0,454;0,618
"Ipiranga do Sul (RS)";431046;0,488;0,673;0,791;0,606;0,687;0,818;0,788;0,862;0,866;0,244;0,514;0,698
"Iraí (RS)";431050;0,469;0,595;0,691;0,595;0,662;0,684;0,705;0,790;0,819;0,246;0,403;0,590
"Itaara (RS)";431053;0,450;0,607;0,760;0,552;0,675;0,761;0,746;0,835;0,841;0,221;0,397;0,687
"Itacurubi (RS)";431055;0,420;0,539;0,657;0,587;0,592;0,692;0,693;0,777;0,804;0,182;0,340;0,509
"Itapuca (RS)";431057;0,377;0,495;0,664;0,548;0,622;0,709;0,703;0,755;0,834;0,139;0,259;0,495
"Itaqui (RS)";431060;0,504;0,630;0,713;0,606;0,641;0,687;0,754;0,808;0,843;0,280;0,483;0,626
"Itati (RS)";431065;0,397;0,554;0,669;0,553;0,633;0,692;0,715;0,757;0,827;0,158;0,354;0,524
"Itatiba do Sul (RS)";431070;0,374;0,533;0,681;0,467;0,595;0,696;0,705;0,775;0,801;0,159;0,328;0,567
"Ivorá (RS)";431075;0,512;0,637;0,724;0,573;0,593;0,712;0,754;0,794;0,886;0,310;0,549;0,602
"Ivoti (RS)";431080;0,551;0,697;0,784;0,685;0,730;0,780;0,777;0,840;0,848;0,315;0,552;0,729
"Jaboticaba (RS)";431085;0,414;0,510;0,658;0,512;0,576;0,636;0,694;0,735;0,820;0,200;0,313;0,547
"Jacuizinho (RS)";431087;0,344;0,466;0,662;0,582;0,606;0,730;0,714;0,751;0,817;0,098;0,223;0,487
"Jacutinga (RS)";431090;0,508;0,620;0,726;0,597;0,645;0,703;0,734;0,781;0,855;0,299;0,474;0,636
"Jaguarão (RS)";431100;0,512;0,620;0,707;0,621;0,670;0,698;0,706;0,778;0,832;0,306;0,458;0,608
"Jaguari (RS)";431110;0,506;0,601;0,712;0,603;0,661;0,734;0,742;0,781;0,866;0,289;0,420;0,567
"Jaquirana (RS)";431112;0,363;0,470;0,614;0,513;0,584;0,626;0,650;0,693;0,779;0,144;0,257;0,475
"Jari (RS)";431113;0,273;0,516;0,631;0,514;0,567;0,636;0,720;0,783;0,836;0,055;0,309;0,473
"Jóia (RS)";431115;0,450;0,587;0,686;0,546;0,610;0,671;0,714;0,784;0,841;0,234;0,422;0,572
"Júlio de Castilhos (RS)";431120;0,542;0,626;0,716;0,639;0,665;0,733;0,750;0,793;0,833;0,332;0,466;0,602
"Lagoa Bonita do Sul (RS)";431123;0,339;0,533;0,670;0,528;0,599;0,696;0,705;0,757;0,801;0,105;0,333;0,539
"Lagoa dos Três Cantos (RS)";431127;0,566;0,664;0,789;0,659;0,686;0,765;0,760;0,841;0,852;0,362;0,508;0,754
"Lagoão (RS)";431125;0,296;0,476;0,643;0,455;0,525;0,641;0,650;0,748;0,822;0,088;0,274;0,505
"Lagoa Vermelha (RS)";431130;0,520;0,650;0,738;0,596;0,669;0,734;0,734;0,811;0,885;0,321;0,506;0,620
"Lajeado (RS)";431140;0,598;0,715;0,778;0,698;0,741;0,796;0,748;0,832;0,840;0,409;0,592;0,704
"Lajeado do Bugre (RS)";431142;0,233;0,504;0,613;0,342;0,544;0,604;0,685;0,775;0,822;0,054;0,304;0,465
"Lavras do Sul (RS)";431150;0,504;0,629;0,699;0,635;0,657;0,683;0,669;0,769;0,868;0,301;0,492;0,577
"Liberato Salzano (RS)";431160;0,363;0,521;0,685;0,453;0,574;0,680;0,705;0,737;0,810;0,150;0,334;0,583
"Lindolfo Collor (RS)";431162;0,427;0,540;0,712;0,595;0,639;0,712;0,720;0,757;0,842;0,182;0,325;0,601
"Linha Nova (RS)";431164;0,475;0,611;0,749;0,641;0,641;0,751;0,735;0,775;0,846;0,227;0,459;0,662
"Maçambará (RS)";431171;0,403;0,562;0,684;0,559;0,639;0,664;0,686;0,747;0,832;0,171;0,371;0,580
"Machadinho (RS)";431170;0,454;0,571;0,692;0,544;0,594;0,711;0,707;0,790;0,807;0,244;0,396;0,577
"Mampituba (RS)";431173;0,372;0,518;0,649;0,550;0,583;0,650;0,678;0,764;0,813;0,138;0,312;0,517
"Manoel Viana (RS)";431175;0,410;0,543;0,655;0,546;0,599;0,686;0,669;0,706;0,766;0,188;0,379;0,534
"Maquiné (RS)";431177;0,460;0,579;0,682;0,572;0,647;0,695;0,717;0,804;0,880;0,238;0,373;0,519
"Maratá (RS)";431179;0,474;0,591;0,697;0,609;0,669;0,729;0,754;0,793;0,862;0,232;0,390;0,540
"Marau (RS)";431180;0,542;0,678;0,774;0,655;0,715;0,773;0,751;0,805;0,857;0,324;0,541;0,699
"Marcelino Ramos (RS)";431190;0,478;0,631;0,724;0,597;0,657;0,735;0,759;0,799;0,834;0,241;0,478;0,618
"Mariana Pimentel (RS)";431198;0,449;0,604;0,701;0,570;0,646;0,701;0,754;0,794;0,866;0,211;0,429;0,568
"Mariano Moro (RS)";431200;0,483;0,656;0,730;0,621;0,706;0,763;0,763;0,806;0,843;0,238;0,497;0,604
"Marques de Souza (RS)";431205;0,482;0,627;0,687;0,610;0,680;0,743;0,777;0,841;0,849;0,236;0,431;0,515
"Mata (RS)";431210;0,431;0,551;0,656;0,579;0,600;0,660;0,711;0,751;0,807;0,194;0,371;0,529
"Mato Castelhano (RS)";431213;0,434;0,665;0,727;0,541;0,655;0,752;0,710;0,776;0,839;0,213;0,579;0,608
"Mato Leitão (RS)";431215;0,472;0,623;0,746;0,612;0,638;0,721;0,721;0,770;0,853;0,238;0,493;0,676
"Mato Queimado (RS)";431217;0,461;0,617;0,717;0,494;0,604;0,702;0,760;0,853;0,870;0,261;0,457;0,603
"Maximiliano de Almeida (RS)";431220;0,445;0,562;0,699;0,586;0,602;0,699;0,658;0,729;0,825;0,228;0,405;0,591
"Minas do Leão (RS)";431225;0,417;0,547;0,681;0,557;0,606;0,743;0,690;0,766;0,826;0,188;0,352;0,514
"Miraguaí (RS)";431230;0,412;0,584;0,725;0,506;0,561;0,744;0,706;0,795;0,837;0,196;0,447;0,613
"Montauri (RS)";431235;0,484;0,608;0,764;0,624;0,699;0,790;0,762;0,841;0,852;0,238;0,383;0,662
"Monte Alegre dos Campos (RS)";431237;0,305;0,462;0,650;0,486;0,536;0,667;0,686;0,777;0,822;0,085;0,237;0,501
"Monte Belo do Sul (RS)";431238;0,498;0,629;0,752;0,625;0,685;0,752;0,777;0,840;0,852;0,255;0,432;0,663
"Montenegro (RS)";431240;0,543;0,668;0,755;0,669;0,724;0,761;0,742;0,839;0,866;0,322;0,491;0,654
"Mormaço (RS)";431242;0,408;0,584;0,714;0,525;0,635;0,735;0,734;0,769;0,860;0,176;0,408;0,576
"Morrinhos do Sul (RS)";431244;0,397;0,593;0,711;0,548;0,588;0,720;0,678;0,747;0,842;0,168;0,475;0,593
"Morro Redondo (RS)";431245;0,437;0,572;0,702;0,557;0,666;0,719;0,736;0,790;0,864;0,204;0,355;0,557
"Morro Reuter (RS)";431247;0,428;0,656;0,743;0,613;0,712;0,733;0,750;0,806;0,858;0,171;0,491;0,653
"Mostardas (RS)";431250;0,439;0,571;0,664;0,634;0,630;0,701;0,754;0,793;0,849;0,177;0,372;0,493
"Muçum (RS)";431260;0,549;0,641;0,746;0,657;0,697;0,757;0,759;0,816;0,840;0,332;0,462;0,654
"Muitos Capões (RS)";431261;0,397;0,534;0,702;0,544;0,633;0,711;0,689;0,786;0,873;0,167;0,306;0,558
"Muliterno (RS)";431262;0,404;0,598;0,689;0,535;0,604;0,740;0,688;0,750;0,808;0,179;0,471;0,547
"Não-Me-Toque (RS)";431265;0,572;0,692;0,765;0,659;0,716;0,784;0,727;0,817;0,847;0,390;0,566;0,673
"Nicolau Vergueiro (RS)";431267;0,410;0,676;0,753;0,561;0,650;0,772;0,742;0,830;0,839;0,166;0,573;0,660
"Nonoai (RS)";431270;0,442;0,584;0,702;0,594;0,628;0,703;0,695;0,775;0,833;0,209;0,409;0,591
"Nova Alvorada (RS)";431275;0,455;0,566;0,740;0,648;0,673;0,763;0,710;0,748;0,838;0,205;0,361;0,634
"Nova Araçá (RS)";431280;0,580;0,732;0,785;0,663;0,779;0,796;0,742;0,832;0,843;0,397;0,605;0,722
"Nova Bassano (RS)";431290;0,525;0,674;0,747;0,647;0,745;0,778;0,748;0,810;0,849;0,299;0,508;0,632
"Nova Boa Vista (RS)";431295;0,509;0,640;0,768;0,555;0,621;0,764;0,721;0,803;0,836;0,330;0,526;0,708
"Nova Bréscia (RS)";431300;0,553;0,695;0,778;0,647;0,770;0,836;0,788;0,832;0,847;0,331;0,523;0,666
"Nova Candelária (RS)";431301;0,385;0,603;0,759;0,494;0,639;0,794;0,743;0,841;0,856;0,156;0,408;0,643
