Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Passo do Sobrado (RS)";431407;0,483;0,601;0,698;0,673;0,698;0,726;0,739;0,782;0,851;0,226;0,397;0,551
"Passo Fundo (RS)";431410;0,589;0,701;0,776;0,678;0,741;0,787;0,717;0,803;0,849;0,421;0,580;0,699
"Paulo Bento (RS)";431413;0,407;0,608;0,710;0,498;0,616;0,730;0,763;0,811;0,858;0,178;0,451;0,571
"Paverama (RS)";431415;0,387;0,540;0,683;0,554;0,633;0,701;0,754;0,793;0,840;0,139;0,313;0,541
"Pedras Altas (RS)";431417;0,372;0,482;0,640;0,541;0,573;0,647;0,686;0,765;0,820;0,139;0,256;0,493
"Pedro Osório (RS)";431420;0,518;0,595;0,678;0,631;0,673;0,683;0,693;0,746;0,829;0,318;0,419;0,551
"Pejuçara (RS)";431430;0,542;0,650;0,741;0,642;0,681;0,724;0,720;0,773;0,867;0,345;0,522;0,648
"Pelotas (RS)";431440;0,558;0,660;0,739;0,666;0,715;0,758;0,736;0,796;0,844;0,354;0,506;0,632
"Picada Café (RS)";431442;0,520;0,653;0,758;0,663;0,701;0,738;0,727;0,773;0,842;0,291;0,515;0,701
"Pinhal (RS)";431445;0,403;0,628;0,720;0,496;0,701;0,701;0,718;0,792;0,852;0,184;0,446;0,624
"Pinhal da Serra (RS)";431446;0,278;0,512;0,650;0,407;0,579;0,641;0,706;0,785;0,835;0,075;0,296;0,513
"Pinhal Grande (RS)";431447;0,405;0,566;0,678;0,561;0,642;0,672;0,702;0,737;0,804;0,169;0,383;0,577
"Pinheirinho do Vale (RS)";431449;0,375;0,530;0,710;0,526;0,577;0,713;0,710;0,748;0,828;0,141;0,345;0,607
"Pinheiro Machado (RS)";431450;0,425;0,584;0,661;0,594;0,640;0,685;0,686;0,790;0,846;0,189;0,394;0,499
"Pirapó (RS)";431455;0,391;0,531;0,669;0,466;0,536;0,656;0,684;0,738;0,824;0,188;0,378;0,553
"Piratini (RS)";431460;0,408;0,550;0,658;0,547;0,621;0,672;0,720;0,765;0,821;0,173;0,350;0,517
"Planalto (RS)";431470;0,444;0,587;0,687;0,538;0,617;0,674;0,699;0,737;0,807;0,233;0,444;0,597
"Poço das Antas (RS)";431475;0,489;0,645;0,744;0,614;0,656;0,742;0,754;0,793;0,877;0,253;0,515;0,634
"Pontão (RS)";431477;0,373;0,585;0,725;0,547;0,631;0,708;0,688;0,791;0,864;0,138;0,401;0,623
"Ponte Preta (RS)";431478;0,336;0,560;0,725;0,477;0,582;0,727;0,750;0,794;0,874;0,106;0,380;0,600
